ID	nrOfMatches_AmplifierWordu46Amplifier	nrOfMatches_BeWordu46BeAsMainVerb	nrOfMatches_CausativeAdverbialSubordinatorWordu46CausativeAdverbialSubordinator	nrOfMatches_ConcessiveAdverbialSubordinatorWordu46ConcessiveAdverbialSubordinator	nrOfMatches_ConditionalAdverbialSubordinatorWordu46ConditionalAdverbialSubordinator	nrOfMatches_DemonstrativeWordu46Demonstrative	nrOfMatches_DowntonerWordu46Downtoner	nrOfMatches_EmphaticWordu46Emphatic	nrOfMatches_HedgeWordu46Hedge	nrOfMatches_InfinitiveWordu46Infinitive	nrOfMatches_OtherAdverbialSubordinatorWordu46OtherAdverbialSubordinator	nrOfMatches_PassivesWordu46AgentlessPassive	nrOfMatches_PassivesWordu46ByPassive	nrOfMatches_PronounWordu46ItPronoun	nrOfMatches_ThatComplementWordu46ThatAdjectiveComplement	nrOfMatches_ThatComplementWordu46ThatVerbComplement	nrOfMatches_WHClauseWordu46WH_Clause	outcome
1000	6.0	0.0	1.0	0.0	0.0	16.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	12
1001	1.0	0.0	2.0	0.0	3.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	4.0	8
1002	1.0	0.0	2.0	0.0	1.0	6.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	8
1003	0.0	0.0	1.0	0.0	3.0	7.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	9
1004	0.0	0.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	6
1005	1.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	9
1006	1.0	0.0	1.0	0.0	0.0	16.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	8
1007	1.0	0.0	0.0	0.0	0.0	11.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	10
1008	3.0	0.0	4.0	0.0	0.0	8.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10
1009	2.0	0.0	3.0	0.0	5.0	15.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8
100	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7
1010	1.0	0.0	3.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8
1011	2.0	0.0	3.0	0.0	1.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	8
1012	1.0	0.0	2.0	0.0	0.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	9
1013	0.0	0.0	4.0	0.0	1.0	10.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	7
1014	0.0	0.0	0.0	0.0	2.0	9.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	8
1015	1.0	0.0	1.0	0.0	4.0	16.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	10
1016	1.0	0.0	2.0	0.0	1.0	6.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	8
1017	1.0	0.0	2.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	8
1018	2.0	0.0	1.0	0.0	1.0	8.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	2.0	1.0	10
1019	2.0	0.0	4.0	0.0	1.0	9.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0	0.0	10
101	1.0	0.0	4.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	10
1020	0.0	0.0	1.0	0.0	5.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	2.0	8
1021	0.0	0.0	3.0	0.0	0.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	2.0	0.0	9
1022	2.0	0.0	4.0	0.0	2.0	10.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	11
1023	1.0	0.0	3.0	0.0	1.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8
1024	1.0	0.0	0.0	0.0	1.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	9
1025	0.0	0.0	2.0	0.0	4.0	7.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	8
1026	0.0	0.0	0.0	0.0	1.0	12.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	10
1027	0.0	0.0	1.0	0.0	1.0	6.0	2.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	8
1028	7.0	0.0	1.0	0.0	2.0	7.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	1.0	3.0	10
1029	0.0	0.0	3.0	1.0	2.0	14.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	10
102	0.0	0.0	0.0	0.0	2.0	13.0	1.0	2.0	3.0	0.0	3.0	0.0	0.0	6.0	0.0	1.0	1.0	8
1030	0.0	0.0	1.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	8
1031	1.0	0.0	2.0	1.0	0.0	17.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	9
1032	1.0	0.0	1.0	0.0	1.0	4.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	8
1033	1.0	0.0	0.0	0.0	1.0	3.0	4.0	4.0	1.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	10
1034	0.0	0.0	2.0	1.0	4.0	19.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	8
1035	2.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	8
1036	0.0	0.0	1.0	1.0	2.0	10.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9
1037	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	8
1038	0.0	0.0	0.0	0.0	5.0	6.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	1.0	11
1039	0.0	0.0	1.0	0.0	2.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8
103	0.0	0.0	4.0	0.0	0.0	9.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	9
1040	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6
1041	0.0	0.0	3.0	0.0	2.0	10.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	6
1042	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	8
1043	1.0	0.0	3.0	0.0	3.0	9.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	9
1044	0.0	0.0	2.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7
1045	4.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9
